                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9331,                  4.672,                 4.2869,                0.00382,                 0.6996,                0.00541,                0.00231,                  2.665,                 4.0237,                 4.1496,                0.07028,              0.0033022,              0.0033022
                      0,                 5.2323,                 6.5949,                  4.277,                      0,                      0,                      0,                      0,                 4.5235,                 4.6299,                 4.0219,                0.07028,              0.0033022,              0.0033022
                      1,                 2.8376,                 4.5415,                 4.1198,                0.00379,                0.66228,                0.01165,                0.00338,                 2.8073,                  6.892,                  5.434,               0.040215,              0.0065698,              0.0065698
                      1,                 4.6024,                 4.1426,                 3.7538,                0.00557,                0.72388,                0.06382,                0.01755,                 2.9335,                 2.7577,                 3.8061,               0.040215,              0.0065698,              0.0065698
                      2,                 2.8184,                 4.2729,                 3.8757,                0.00222,                0.47205,                0.00428,                0.00084,                 3.2037,                 56.054,                 6.9706,               0.010083,              0.0097715,              0.0097715
                      2,                 3.4209,                 3.0061,                 2.8271,                0.00251,                 0.6791,                0.00361,                0.00133,                 2.4478,                    inf,                 3.7144,               0.010083,              0.0097715,              0.0097715
                      3,                 2.7168,                  3.843,                 3.5226,                0.00232,                0.40572,                0.00573,                 0.0014,                 3.4761,                 20.913,                 4.7323,               0.009703,               0.009703,               0.009703
                      3,                 2.7821,                 2.4211,                 2.2203,                0.00353,                 0.9403,                0.10101,                 0.0328,                 2.2465,                 12.418,                 3.1884,               0.009703,               0.009703,               0.009703
                      4,                 2.5286,                 3.4724,                 3.2415,                0.00418,                0.81206,                  0.022,                 0.0062,                  2.437,                 4.0242,                 3.3363,               0.009703,               0.009703,               0.009703
                      4,                 2.5457,                 2.0516,                  1.973,                0.00432,                0.97015,                0.23512,                0.07855,                  2.159,                 4.2068,                  2.686,               0.009703,               0.009703,               0.009703
                      5,                 2.2723,                 3.1198,                 2.9928,                0.00449,                0.86861,                0.05313,                0.01852,                 2.3048,                 7.8051,                 3.2711,               0.009604,               0.009604,               0.009604
                      5,                 2.2783,                 1.7596,                 1.8284,                0.00914,                0.97761,                0.37115,                0.13677,                 1.9979,                  2.088,                 2.5701,               0.009604,               0.009604,               0.009604
                      6,                 2.0031,                 2.7444,                 2.7157,                0.00511,                0.88762,                0.13207,                0.05589,                 2.3294,                 3.8333,                 3.1102,               0.009505,               0.009505,               0.009505
                      6,                 2.1747,                 1.5315,                 1.6942,                0.01273,                0.97015,                   0.51,                0.19649,                 2.0252,                 1.7899,                 2.4617,               0.009505,               0.009505,               0.009505
                      7,                 1.7818,                  2.514,                 2.4943,                0.00473,                0.88681,                0.14741,                0.06155,                 1.9707,                 3.2516,                 2.8658,               0.009406,               0.009406,               0.009406
                      7,                 2.0851,                 1.4386,                 1.6167,                0.01382,                0.97761,                0.48809,                0.18493,                 2.0099,                 1.7861,                 2.4536,               0.009406,               0.009406,               0.009406
                      8,                 1.5606,                 2.3119,                 2.2637,                 0.0056,                0.93695,                0.19876,                0.09267,                 1.8541,                 3.5116,                 2.7341,               0.009307,               0.009307,               0.009307
                      8,                 1.9571,                 1.3205,                  1.526,                0.00968,                0.97015,                0.48643,                0.17374,                 2.0169,                 2.0881,                  2.471,               0.009307,               0.009307,               0.009307
                      9,                 1.4337,                 2.1677,                  2.113,                0.00714,                0.92965,                0.21258,                0.10998,                  1.904,                 2.7464,                 2.7159,               0.009208,               0.009208,               0.009208
                      9,                 1.8698,                 1.2675,                 1.4729,                0.02423,                0.97015,                0.46539,                 0.1869,                 1.9436,                 1.7682,                 2.3911,               0.009208,               0.009208,               0.009208
                     10,                 1.3038,                 2.0131,                 1.9628,                0.00757,                0.95919,                0.18973,                0.10257,                  1.788,                 2.7011,                 2.6716,               0.009109,               0.009109,               0.009109
                     10,                 1.8555,                 1.2353,                  1.473,                0.01535,                0.96269,                0.47541,                0.17162,                 2.0647,                 2.2865,                 2.5775,               0.009109,               0.009109,               0.009109
                     11,                 1.2338,                 1.9251,                 1.8905,                0.00625,                0.92161,                0.18049,                0.09343,                 1.7613,                  2.801,                 2.6171,                0.00901,                0.00901,                0.00901
                     11,                 1.7613,                 1.1236,                 1.4118,                0.01692,                0.96269,                0.65778,                0.25047,                 1.9273,                 1.7688,                 2.3629,                0.00901,                0.00901,                0.00901
                     12,                 1.1787,                 1.8273,                 1.8333,                0.00707,                0.95797,                0.21255,                0.11919,                 1.5438,                 2.5779,                 2.3756,               0.008911,               0.008911,               0.008911
                     12,                 1.7261,                 1.0732,                 1.3815,                0.04244,                0.97015,                0.61314,                0.24978,                 2.0483,                 1.5042,                 2.4883,               0.008911,               0.008911,               0.008911
                     13,                 1.1279,                 1.7358,                 1.7583,                0.00663,                0.95308,                0.25036,                0.12934,                 1.4919,                 2.5173,                 2.3411,               0.008812,               0.008812,               0.008812
                     13,                 1.6765,                 1.0445,                 1.3573,                0.02348,                      1,                0.63488,                0.26285,                 1.9431,                 1.4903,                 2.3927,               0.008812,               0.008812,               0.008812
                     14,                 1.0788,                 1.7223,                  1.709,                0.01097,                0.95512,                0.29415,                0.18041,                 1.4533,                   2.46,                 2.3123,               0.008713,               0.008713,               0.008713
                     14,                 1.6746,                  1.031,                 1.3662,                0.03645,                0.98507,                0.81389,                0.34919,                 1.7637,                 1.1842,                 2.2669,               0.008713,               0.008713,               0.008713
                     15,                  1.029,                 1.5931,                 1.6647,                0.00929,                0.94945,                0.26079,                0.16551,                 1.3637,                 2.7158,                 2.1506,               0.008614,               0.008614,               0.008614
                     15,                  1.632,                0.98996,                 1.3316,                0.02803,                0.95522,                0.81643,                0.36218,                 1.6628,                 1.3522,                 2.1485,               0.008614,               0.008614,               0.008614
                     16,                0.99844,                 1.5474,                  1.615,                0.01465,                 0.9329,                0.30281,                0.20206,                 1.3197,                 2.4072,                 2.1285,               0.008515,               0.008515,               0.008515
                     16,                 1.6034,                0.94289,                 1.3151,                 0.0342,                0.96269,                0.73622,                0.35212,                 1.6828,                 1.3823,                 2.1835,               0.008515,               0.008515,               0.008515
