                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9376,                 4.6689,                 4.2816,                0.00389,                0.70282,                0.00699,                0.00332,                 2.6615,                 4.0262,                 4.1459,                0.07028,              0.0033022,              0.0033022
                      0,                 5.2358,                 6.6235,                 4.2701,                      0,                      0,                      0,                      0,                 4.5315,                 4.6396,                 4.0287,                0.07028,              0.0033022,              0.0033022
                      1,                 2.8358,                 4.5482,                 4.1246,                0.00345,                0.64123,                0.01544,                0.00306,                 2.7658,                 5.0386,                 4.7498,               0.040215,              0.0065698,              0.0065698
                      1,                 4.5071,                 3.9911,                 3.7181,                0.00543,                0.74627,                0.11264,                0.03181,                 2.9075,                 5.5818,                 3.9599,               0.040215,              0.0065698,              0.0065698
                      2,                 2.8102,                 4.2874,                 3.8877,                0.00296,                0.55592,                0.00357,                0.00097,                 3.1786,                 6.3425,                 4.7831,               0.010083,              0.0097715,              0.0097715
                      2,                 3.2399,                 2.9372,                 2.6284,                0.00416,                0.86567,                0.19261,                0.06836,                 2.2099,                 7.4875,                 3.2328,               0.010083,              0.0097715,              0.0097715
                      3,                 2.6446,                 3.7775,                 3.5071,                0.00322,                0.55604,                0.00647,                0.00181,                 2.9709,                 12.916,                 4.4043,               0.009703,               0.009703,               0.009703
                      3,                 2.6647,                 2.3234,                  2.095,                0.00413,                0.96269,                0.12141,                0.04404,                 2.2814,                 20.559,                 3.0163,               0.009703,               0.009703,               0.009703
                      4,                 2.4723,                 3.4412,                 3.2142,                0.00453,                0.83465,                0.04384,                 0.0141,                 2.3515,                 3.9089,                 3.3099,               0.009703,               0.009703,               0.009703
                      4,                 2.4377,                 1.9758,                 1.8668,                0.00649,                 0.9403,                0.35769,                0.11842,                 2.0767,                 2.3334,                 2.6794,               0.009703,               0.009703,               0.009703
                      5,                 2.2427,                 3.1398,                 2.9808,                0.00409,                0.80231,                0.02331,                0.00783,                  2.393,                 4.0029,                 3.3095,               0.009604,               0.009604,               0.009604
                      5,                 2.2559,                 1.7258,                 1.7691,                0.00797,                0.97761,                0.39273,                0.14216,                 2.1902,                 2.0621,                 2.6038,               0.009604,               0.009604,               0.009604
                      6,                 1.9994,                 2.8625,                 2.7335,                0.00502,                0.88117,                0.10206,                0.03815,                 2.1063,                 3.2592,                 3.0922,               0.009505,               0.009505,               0.009505
                      6,                 2.1136,                 1.5027,                 1.6324,                0.01287,                0.96269,                0.41031,                 0.1681,                 1.9793,                 1.8532,                 2.4194,               0.009505,               0.009505,               0.009505
                      7,                 1.7704,                 2.6327,                 2.5053,                0.00516,                0.88522,                0.12294,                0.05396,                 1.8718,                 3.6366,                 2.7894,               0.009406,               0.009406,               0.009406
                      7,                  2.071,                 1.4344,                 1.5784,                0.01121,                0.97761,                 0.4434,                0.16459,                 2.0209,                 2.0145,                 2.4317,               0.009406,               0.009406,               0.009406
                      8,                 1.5996,                 2.4665,                 2.3134,                0.00659,                0.92806,                0.15462,                0.07208,                 1.8694,                 3.8374,                 2.7497,               0.009307,               0.009307,               0.009307
                      8,                 1.9224,                 1.3399,                  1.512,                0.01304,                0.97015,                0.43541,                0.17405,                 1.9881,                  2.028,                 2.4079,               0.009307,               0.009307,               0.009307
                      9,                 1.4439,                 2.2971,                 2.1463,                0.00901,                 0.8662,                0.15543,                0.07473,                 2.0086,                 2.8639,                 2.7844,               0.009208,               0.009208,               0.009208
                      9,                 1.8654,                 1.2569,                 1.4635,                  0.028,                0.95522,                0.51967,                0.23252,                 1.8983,                 1.5544,                 2.3081,               0.009208,               0.009208,               0.009208
                     10,                 1.3493,                 2.1775,                 2.0227,                0.00648,                0.94833,                0.16316,                0.07116,                 1.8839,                 3.0157,                 2.7539,               0.009109,               0.009109,               0.009109
                     10,                 1.8446,                 1.2178,                 1.4576,                0.01781,                0.97761,                0.48082,                0.19229,                 2.0216,                 1.8855,                 2.4491,               0.009109,               0.009109,               0.009109
                     11,                 1.2753,                  2.079,                 1.9411,                0.01145,                0.93536,                0.23505,                0.13318,                 1.5916,                 2.5347,                 2.4107,                0.00901,                0.00901,                0.00901
                     11,                  1.751,                  1.143,                  1.394,                0.02674,                0.94776,                0.70939,                0.31103,                 1.8294,                 1.3738,                 2.2666,                0.00901,                0.00901,                0.00901
                     12,                 1.2208,                 1.9728,                  1.898,                0.00823,                0.95961,                 0.2397,                0.12421,                  1.626,                 2.4953,                 2.4554,               0.008911,               0.008911,               0.008911
                     12,                 1.7168,                 1.0987,                 1.3757,                0.03584,                0.97761,                 0.6714,                0.28947,                 1.8301,                 1.4548,                  2.265,               0.008911,               0.008911,               0.008911
                     13,                 1.1435,                 1.8897,                 1.7995,                0.00912,                0.98789,                0.21602,                0.12217,                 1.4662,                 2.5448,                 2.3271,               0.008812,               0.008812,               0.008812
                     13,                 1.6676,                 1.0235,                 1.3402,                0.03296,                0.97015,                0.71002,                0.29673,                 1.8611,                 1.4057,                 2.2921,               0.008812,               0.008812,               0.008812
                     14,                 1.1065,                 1.8348,                 1.7602,                 0.0134,                0.91714,                0.18971,                0.10988,                 1.6815,                 2.8066,                 2.4544,               0.008713,               0.008713,               0.008713
                     14,                 1.6589,                  1.025,                  1.356,                0.02071,                0.97761,                0.76842,                 0.3486,                 1.7324,                 1.4309,                 2.1847,               0.008713,               0.008713,               0.008713
                     15,                 1.0515,                  1.714,                 1.6983,                0.01702,                0.90859,                 0.2445,                0.15152,                 1.4619,                 2.5213,                 2.2369,               0.008614,               0.008614,               0.008614
                     15,                 1.6083,                0.99978,                 1.3055,                0.04673,                0.98507,                0.82162,                0.38943,                 1.7682,                 1.1834,                 2.1831,               0.008614,               0.008614,               0.008614
                     16,                 1.0085,                  1.655,                 1.6496,                0.01234,                0.94181,                0.29863,                 0.1766,                 1.4139,                 2.4137,                 2.1795,               0.008515,               0.008515,               0.008515
                     16,                 1.5738,                 0.9529,                 1.2961,                0.04195,                0.97761,                0.84806,                0.41041,                 1.6156,                  1.195,                 2.1661,               0.008515,               0.008515,               0.008515
                     17,                0.98162,                  1.593,                 1.6226,                0.01298,                0.95797,                 0.3089,                0.19444,                 1.2338,                 2.3918,                 1.9941,               0.008416,               0.008416,               0.008416
                     17,                 1.5542,                0.92142,                 1.2823,                0.04126,                0.97761,                0.80738,                0.37979,                 1.6494,                 1.2927,                 2.1307,               0.008416,               0.008416,               0.008416
                     18,                0.97489,                   1.57,                 1.6018,                0.01437,                 0.9503,                0.33083,                 0.2086,                 1.2857,                 2.3968,                 1.9854,               0.008317,               0.008317,               0.008317
                     18,                 1.5177,                0.91724,                 1.2545,                0.05801,                0.97015,                0.85346,                0.37455,                 1.7186,                 1.1123,                 2.2009,               0.008317,               0.008317,               0.008317
                     19,                0.94785,                 1.4999,                 1.5799,                0.01296,                0.95879,                0.34413,                0.21926,                 1.3209,                 2.2035,                 2.0457,               0.008218,               0.008218,               0.008218
                     19,                 1.5222,                0.90459,                 1.2555,                0.05454,                0.97761,                0.83161,                0.39794,                 1.7468,                 1.0899,                 2.1877,               0.008218,               0.008218,               0.008218
                     20,                0.90785,                 1.4597,                 1.5395,                 0.0222,                0.90143,                0.27158,                0.17031,                 1.3825,                 2.3967,                   2.15,               0.008119,               0.008119,               0.008119
                     20,                 1.4711,                0.85468,                 1.2266,                0.06433,                0.98507,                0.87096,                0.42171,                  1.583,                 1.1422,                 2.0471,               0.008119,               0.008119,               0.008119
                     21,                0.88753,                 1.4089,                 1.5241,                0.01273,                0.92851,                 0.3014,                0.19511,                 1.2453,                 2.5146,                 1.9993,                0.00802,                0.00802,                0.00802
                     21,                 1.4338,                0.85286,                 1.2359,                0.05147,                0.95522,                0.82339,                0.41142,                 1.5888,                 1.1207,                 2.0535,                0.00802,                0.00802,                0.00802
                     22,                0.86649,                 1.3625,                 1.4757,                0.02009,                0.92484,                0.35166,                0.23148,                 1.1597,                 2.1847,                 1.9369,               0.007921,               0.007921,               0.007921
